model,model_label,tool,demonstrates,transport,schema_role,strict,trials,accepted,honored,dropped,invalid,rejected,error,honored_rate,honored_ci_lo,honored_ci_hi,served_n,accepted_pct,honored_given_accepted,honored_of_served,hos_ci_lo,hos_ci_hi,underpowered
gpt-5.4-mini,gpt-5.4-mini,create-payment,nested oneOf + const + pattern,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,create-payment,nested oneOf + const + pattern,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.5,gpt-5.5,create-payment,nested oneOf + const + pattern,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,create-payment,nested oneOf + const + pattern,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.5,gpt-5.5,create-payment,nested oneOf + const + pattern,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,create-payment,nested oneOf + const + pattern,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-luna,gpt-5.6-luna,create-payment,nested oneOf + const + pattern,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,create-payment,nested oneOf + const + pattern,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-luna,gpt-5.6-luna,create-payment,nested oneOf + const + pattern,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,create-payment,nested oneOf + const + pattern,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-sol,gpt-5.6-sol,create-payment,nested oneOf + const + pattern,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,create-payment,nested oneOf + const + pattern,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-sol,gpt-5.6-sol,create-payment,nested oneOf + const + pattern,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,create-payment,nested oneOf + const + pattern,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-terra,gpt-5.6-terra,create-payment,nested oneOf + const + pattern,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,create-payment,nested oneOf + const + pattern,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-terra,gpt-5.6-terra,create-payment,nested oneOf + const + pattern,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
openai/gpt-oss-120b,gpt-oss-120b,create-payment,nested oneOf + const + pattern,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
thinkingmachines/Inkling,inkling,create-payment,nested oneOf + const + pattern,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.6,kimi-k2.6,create-payment,nested oneOf + const + pattern,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.7-Code,kimi-k2.7-code,create-payment,nested oneOf + const + pattern,huggingface,input,,20,20,19,0,1,0,0,0.95,0.7639,0.9911,20,1.0,0.95,0.95,0.7639,0.9911,False
kimi-k3,kimi-k3,create-payment,nested oneOf + const + pattern,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K3,kimi-k3-hf,create-payment,nested oneOf + const + pattern,huggingface,input,,20,19,19,0,0,0,1,0.95,0.7639,0.9911,19,1.0,1.0,1.0,0.8318,1.0,True
MiniMaxAI/MiniMax-M3,minimax-m3,create-payment,nested oneOf + const + pattern,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
Qwen/Qwen3.5-397B-A17B,qwen3.5-397b,create-payment,nested oneOf + const + pattern,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
Qwen/Qwen3.6-35B-A3B,qwen3.6-35b,create-payment,nested oneOf + const + pattern,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-fable-5,claude-fable-5,create-shipment,$ref + $defs,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-haiku-4-5,claude-haiku-4.5,create-shipment,$ref + $defs,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-opus-4-8,claude-opus-4.8,create-shipment,$ref + $defs,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-sonnet-5,claude-sonnet-5,create-shipment,$ref + $defs,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
deepseek-ai/DeepSeek-V4-Flash,deepseek-v4-flash,create-shipment,$ref + $defs,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.1-flash-lite,gemini-3.1-flash-lite,create-shipment,$ref + $defs,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.1-pro-preview,gemini-3.1-pro,create-shipment,$ref + $defs,direct,input,,20,18,18,0,0,0,2,0.9,0.699,0.9721,18,1.0,1.0,1.0,0.8241,1.0,True
gemini-3.5-flash,gemini-3.5-flash,create-shipment,$ref + $defs,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
google/gemma-4-31B-it,gemma-4-31b,create-shipment,$ref + $defs,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
zai-org/GLM-5.2,glm-5.2,create-shipment,$ref + $defs,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,create-shipment,$ref + $defs,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,create-shipment,$ref + $defs,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4,gpt-5.4,create-shipment,$ref + $defs,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,create-shipment,$ref + $defs,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,create-shipment,$ref + $defs,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4-mini,gpt-5.4-mini,create-shipment,$ref + $defs,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,create-shipment,$ref + $defs,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4-mini,gpt-5.4-mini,create-shipment,$ref + $defs,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,create-shipment,$ref + $defs,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.5,gpt-5.5,create-shipment,$ref + $defs,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,create-shipment,$ref + $defs,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.5,gpt-5.5,create-shipment,$ref + $defs,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,create-shipment,$ref + $defs,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-luna,gpt-5.6-luna,create-shipment,$ref + $defs,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,create-shipment,$ref + $defs,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-luna,gpt-5.6-luna,create-shipment,$ref + $defs,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,create-shipment,$ref + $defs,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-sol,gpt-5.6-sol,create-shipment,$ref + $defs,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,create-shipment,$ref + $defs,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-sol,gpt-5.6-sol,create-shipment,$ref + $defs,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,create-shipment,$ref + $defs,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-terra,gpt-5.6-terra,create-shipment,$ref + $defs,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,create-shipment,$ref + $defs,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-terra,gpt-5.6-terra,create-shipment,$ref + $defs,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
openai/gpt-oss-120b,gpt-oss-120b,create-shipment,$ref + $defs,huggingface,input,,20,20,13,0,7,0,0,0.65,0.4329,0.8188,20,1.0,0.65,0.65,0.4329,0.8188,False
thinkingmachines/Inkling,inkling,create-shipment,$ref + $defs,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.6,kimi-k2.6,create-shipment,$ref + $defs,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.7-Code,kimi-k2.7-code,create-shipment,$ref + $defs,huggingface,input,,20,20,17,0,3,0,0,0.85,0.6396,0.9476,20,1.0,0.85,0.85,0.6396,0.9476,False
kimi-k3,kimi-k3,create-shipment,$ref + $defs,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K3,kimi-k3-hf,create-shipment,$ref + $defs,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
MiniMaxAI/MiniMax-M3,minimax-m3,create-shipment,$ref + $defs,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
Qwen/Qwen3.5-397B-A17B,qwen3.5-397b,create-shipment,$ref + $defs,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
Qwen/Qwen3.6-35B-A3B,qwen3.6-35b,create-shipment,$ref + $defs,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-fable-5,claude-fable-5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-haiku-4-5,claude-haiku-4.5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-opus-4-8,claude-opus-4.8,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-sonnet-5,claude-sonnet-5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
deepseek-ai/DeepSeek-V4-Flash,deepseek-v4-flash,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.1-flash-lite,gemini-3.1-flash-lite,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,,20,20,0,0,20,0,0,0.0,0.0,0.1611,20,1.0,0.0,0.0,0.0,0.1611,False
gemini-3.1-pro-preview,gemini-3.1-pro,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,,20,20,0,0,20,0,0,0.0,0.0,0.1611,20,1.0,0.0,0.0,0.0,0.1611,False
gemini-3.5-flash,gemini-3.5-flash,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
google/gemma-4-31B-it,gemma-4-31b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface,input,,20,20,19,1,0,0,0,0.95,0.7639,0.9911,20,1.0,0.95,0.95,0.7639,0.9911,False
zai-org/GLM-5.2,glm-5.2,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4,gpt-5.4,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4-mini,gpt-5.4-mini,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4-mini,gpt-5.4-mini,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.5,gpt-5.5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.5,gpt-5.5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-luna,gpt-5.6-luna,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-luna,gpt-5.6-luna,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-sol,gpt-5.6-sol,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-sol,gpt-5.6-sol,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-terra,gpt-5.6-terra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-terra,gpt-5.6-terra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
openai/gpt-oss-120b,gpt-oss-120b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface,input,,20,14,0,0,14,0,6,0.0,0.0,0.1611,14,1.0,0.0,0.0,0.0,0.2153,True
thinkingmachines/Inkling,inkling,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.6,kimi-k2.6,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.7-Code,kimi-k2.7-code,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
kimi-k3,kimi-k3,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K3,kimi-k3-hf,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
MiniMaxAI/MiniMax-M3,minimax-m3,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
Qwen/Qwen3.5-397B-A17B,qwen3.5-397b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface,input,,20,20,19,1,0,0,0,0.95,0.7639,0.9911,20,1.0,0.95,0.95,0.7639,0.9911,False
Qwen/Qwen3.6-35B-A3B,qwen3.6-35b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface,input,,20,20,18,2,0,0,0,0.9,0.699,0.9721,20,1.0,0.9,0.9,0.699,0.9721,False
claude-fable-5,claude-fable-5,lookup-record,top-level oneOf,direct,input,,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
claude-haiku-4-5,claude-haiku-4.5,lookup-record,top-level oneOf,direct,input,,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
claude-opus-4-8,claude-opus-4.8,lookup-record,top-level oneOf,direct,input,,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
claude-sonnet-5,claude-sonnet-5,lookup-record,top-level oneOf,direct,input,,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
deepseek-ai/DeepSeek-V4-Flash,deepseek-v4-flash,lookup-record,top-level oneOf,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.1-flash-lite,gemini-3.1-flash-lite,lookup-record,top-level oneOf,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.1-pro-preview,gemini-3.1-pro,lookup-record,top-level oneOf,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
