probed_at,model_label,model_id,tool,api,condition,trial,strict,reasoning_effort_param,verdict,note,arguments,reasoning_tokens,latency_ms,error,error_status
2026-07-18T21:45:59.856607+00:00,gpt-5.6-sol,gpt-5.6-sol,get-enum-selections,responses,responses_default,4,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",50,2891,,
2026-07-18T21:46:03.579049+00:00,gpt-5.6-sol,gpt-5.6-sol,lookup-record,responses,responses_default,0,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",0,4781,,
2026-07-18T21:46:09.109498+00:00,gpt-5.6-sol,gpt-5.6-sol,lookup-record,responses,responses_default,1,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",0,1375,,
2026-07-18T21:46:11.675426+00:00,gpt-5.6-sol,gpt-5.6-sol,lookup-record,responses,responses_default,2,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",0,1219,,
2026-07-18T21:46:13.893848+00:00,gpt-5.6-sol,gpt-5.6-sol,lookup-record,responses,responses_default,3,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",0,1531,,
2026-07-18T21:46:16.588253+00:00,gpt-5.6-sol,gpt-5.6-sol,lookup-record,responses,responses_default,4,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",0,1734,,
2026-07-18T21:46:19.574093+00:00,gpt-5.6-sol,gpt-5.6-sol,create-payment,responses,responses_default,0,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,1343,,
2026-07-18T21:46:22.195402+00:00,gpt-5.6-sol,gpt-5.6-sol,create-payment,responses,responses_default,1,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,1405,,
2026-07-18T21:46:25.162420+00:00,gpt-5.6-sol,gpt-5.6-sol,create-payment,responses,responses_default,2,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,1420,,
2026-07-18T21:46:27.293035+00:00,gpt-5.6-sol,gpt-5.6-sol,create-payment,responses,responses_default,3,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,1500,,
2026-07-18T21:46:30.121412+00:00,gpt-5.6-sol,gpt-5.6-sol,create-payment,responses,responses_default,4,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,1452,,
2026-07-18T21:46:33.666710+00:00,gpt-5.6-sol,gpt-5.6-sol,create-shipment,responses,responses_default,0,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,1453,,
2026-07-18T21:46:36.017084+00:00,gpt-5.6-sol,gpt-5.6-sol,create-shipment,responses,responses_default,1,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,1311,,
2026-07-18T21:46:38.439209+00:00,gpt-5.6-sol,gpt-5.6-sol,create-shipment,responses,responses_default,2,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,1829,,
2026-07-18T21:46:41.110683+00:00,gpt-5.6-sol,gpt-5.6-sol,create-shipment,responses,responses_default,3,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,1704,,
2026-07-18T21:46:43.488128+00:00,gpt-5.6-sol,gpt-5.6-sol,create-shipment,responses,responses_default,4,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,1984,,
2026-07-18T21:46:46.074165+00:00,gpt-5.6-sol,gpt-5.6-sol,register-address,responses,responses_default,0,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,1639,,
2026-07-18T21:46:48.286492+00:00,gpt-5.6-sol,gpt-5.6-sol,register-address,responses,responses_default,1,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,1313,,
2026-07-18T21:46:50.279626+00:00,gpt-5.6-sol,gpt-5.6-sol,register-address,responses,responses_default,2,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,1125,,
2026-07-18T21:46:52.190321+00:00,gpt-5.6-sol,gpt-5.6-sol,register-address,responses,responses_default,3,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,1155,,
2026-07-18T21:46:54.034567+00:00,gpt-5.6-sol,gpt-5.6-sol,register-address,responses,responses_default,4,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,1328,,
2026-07-18T21:46:56.026484+00:00,gpt-5.6-sol,gpt-5.6-sol,plot-point,responses,responses_default,0,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,1328,,
2026-07-18T21:46:58.005549+00:00,gpt-5.6-sol,gpt-5.6-sol,plot-point,responses,responses_default,1,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,1186,,
2026-07-18T21:46:59.933126+00:00,gpt-5.6-sol,gpt-5.6-sol,plot-point,responses,responses_default,2,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,1358,,
2026-07-18T21:47:01.916721+00:00,gpt-5.6-sol,gpt-5.6-sol,plot-point,responses,responses_default,3,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,1358,,
2026-07-18T21:47:04.047157+00:00,gpt-5.6-sol,gpt-5.6-sol,plot-point,responses,responses_default,4,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,1454,,
2026-07-18T21:47:06.361555+00:00,gpt-5.6-terra,gpt-5.6-terra,get-enum-selections,responses,responses_default,0,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",32,1467,,
2026-07-18T21:47:08.593377+00:00,gpt-5.6-terra,gpt-5.6-terra,get-enum-selections,responses,responses_default,1,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",0,1031,,
2026-07-18T21:47:10.343463+00:00,gpt-5.6-terra,gpt-5.6-terra,get-enum-selections,responses,responses_default,2,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",0,1172,,
2026-07-18T21:47:12.221671+00:00,gpt-5.6-terra,gpt-5.6-terra,get-enum-selections,responses,responses_default,3,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",0,1391,,
2026-07-18T21:47:14.397720+00:00,gpt-5.6-terra,gpt-5.6-terra,get-enum-selections,responses,responses_default,4,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",38,1608,,
2026-07-18T21:47:16.797698+00:00,gpt-5.6-terra,gpt-5.6-terra,lookup-record,responses,responses_default,0,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",23,1094,,
2026-07-18T21:47:18.520534+00:00,gpt-5.6-terra,gpt-5.6-terra,lookup-record,responses,responses_default,1,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",22,905,,
2026-07-18T21:47:20.032685+00:00,gpt-5.6-terra,gpt-5.6-terra,lookup-record,responses,responses_default,2,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",23,953,,
2026-07-18T21:47:21.651232+00:00,gpt-5.6-terra,gpt-5.6-terra,lookup-record,responses,responses_default,3,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",27,969,,
2026-07-18T21:47:23.259670+00:00,gpt-5.6-terra,gpt-5.6-terra,lookup-record,responses,responses_default,4,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",27,1186,,
2026-07-18T21:47:25.177317+00:00,gpt-5.6-terra,gpt-5.6-terra,create-payment,responses,responses_default,0,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",11,842,,
2026-07-18T21:47:26.713534+00:00,gpt-5.6-terra,gpt-5.6-terra,create-payment,responses,responses_default,1,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,1016,,
2026-07-18T21:47:28.437502+00:00,gpt-5.6-terra,gpt-5.6-terra,create-payment,responses,responses_default,2,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,907,,
2026-07-18T21:47:30.441910+00:00,gpt-5.6-terra,gpt-5.6-terra,create-payment,responses,responses_default,3,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,1500,,
2026-07-18T21:47:32.679582+00:00,gpt-5.6-terra,gpt-5.6-terra,create-payment,responses,responses_default,4,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",13,858,,
2026-07-18T21:47:34.224746+00:00,gpt-5.6-terra,gpt-5.6-terra,create-shipment,responses,responses_default,0,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,1062,,
2026-07-18T21:47:36.005015+00:00,gpt-5.6-terra,gpt-5.6-terra,create-shipment,responses,responses_default,1,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,1141,,
2026-07-18T21:47:37.871815+00:00,gpt-5.6-terra,gpt-5.6-terra,create-shipment,responses,responses_default,2,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,1172,,
2026-07-18T21:47:39.704681+00:00,gpt-5.6-terra,gpt-5.6-terra,create-shipment,responses,responses_default,3,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,1062,,
2026-07-18T21:47:41.448075+00:00,gpt-5.6-terra,gpt-5.6-terra,create-shipment,responses,responses_default,4,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,1016,,
2026-07-18T21:47:43.151990+00:00,gpt-5.6-terra,gpt-5.6-terra,register-address,responses,responses_default,0,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",17,1171,,
2026-07-18T21:47:44.936297+00:00,gpt-5.6-terra,gpt-5.6-terra,register-address,responses,responses_default,1,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",18,936,,
2026-07-18T21:47:46.459525+00:00,gpt-5.6-terra,gpt-5.6-terra,register-address,responses,responses_default,2,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,890,,
2026-07-18T21:47:47.962628+00:00,gpt-5.6-terra,gpt-5.6-terra,register-address,responses,responses_default,3,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,922,,
2026-07-18T21:47:49.510756+00:00,gpt-5.6-terra,gpt-5.6-terra,register-address,responses,responses_default,4,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",17,1234,,
2026-07-18T21:47:51.372251+00:00,gpt-5.6-terra,gpt-5.6-terra,plot-point,responses,responses_default,0,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,843,,
2026-07-18T21:47:52.853807+00:00,gpt-5.6-terra,gpt-5.6-terra,plot-point,responses,responses_default,1,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,2266,,
2026-07-18T21:47:55.748248+00:00,gpt-5.6-terra,gpt-5.6-terra,plot-point,responses,responses_default,2,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,812,,
2026-07-18T21:47:57.194645+00:00,gpt-5.6-terra,gpt-5.6-terra,plot-point,responses,responses_default,3,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,1078,,
2026-07-18T21:47:58.895398+00:00,gpt-5.6-terra,gpt-5.6-terra,plot-point,responses,responses_default,4,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,811,,
2026-07-18T21:48:00.329652+00:00,gpt-5.6-luna,gpt-5.6-luna,get-enum-selections,responses,responses_default,0,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-2""}",0,953,,
2026-07-18T21:48:01.893345+00:00,gpt-5.6-luna,gpt-5.6-luna,get-enum-selections,responses,responses_default,1,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",0,1078,,
2026-07-18T21:48:03.652230+00:00,gpt-5.6-luna,gpt-5.6-luna,get-enum-selections,responses,responses_default,2,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-4""}",0,1344,,
2026-07-18T21:48:05.650948+00:00,gpt-5.6-luna,gpt-5.6-luna,get-enum-selections,responses,responses_default,3,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-2""}",0,1108,,
2026-07-18T21:48:07.466103+00:00,gpt-5.6-luna,gpt-5.6-luna,get-enum-selections,responses,responses_default,4,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-2""}",0,1047,,
2026-07-18T21:48:09.132490+00:00,gpt-5.6-luna,gpt-5.6-luna,lookup-record,responses,responses_default,0,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",27,1061,,
2026-07-18T21:48:10.807492+00:00,gpt-5.6-luna,gpt-5.6-luna,lookup-record,responses,responses_default,1,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",0,967,,
2026-07-18T21:48:12.461055+00:00,gpt-5.6-luna,gpt-5.6-luna,lookup-record,responses,responses_default,2,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",34,1311,,
2026-07-18T21:48:14.465357+00:00,gpt-5.6-luna,gpt-5.6-luna,lookup-record,responses,responses_default,3,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",25,1094,,
2026-07-18T21:48:16.260023+00:00,gpt-5.6-luna,gpt-5.6-luna,lookup-record,responses,responses_default,4,False,,honored,exactly one identifier (id),"{""id"": ""REC-4417""}",36,1125,,
2026-07-18T21:48:18.089435+00:00,gpt-5.6-luna,gpt-5.6-luna,create-payment,responses,responses_default,0,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,1093,,
2026-07-18T21:48:19.864716+00:00,gpt-5.6-luna,gpt-5.6-luna,create-payment,responses,responses_default,1,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,1000,,
2026-07-18T21:48:21.771829+00:00,gpt-5.6-luna,gpt-5.6-luna,create-payment,responses,responses_default,2,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,1078,,
2026-07-18T21:48:23.631971+00:00,gpt-5.6-luna,gpt-5.6-luna,create-payment,responses,responses_default,3,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,891,,
2026-07-18T21:48:25.199928+00:00,gpt-5.6-luna,gpt-5.6-luna,create-payment,responses,responses_default,4,False,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",0,1203,,
2026-07-18T21:48:27.252174+00:00,gpt-5.6-luna,gpt-5.6-luna,create-shipment,responses,responses_default,0,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,952,,
2026-07-18T21:48:28.840745+00:00,gpt-5.6-luna,gpt-5.6-luna,create-shipment,responses,responses_default,1,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,1093,,
2026-07-18T21:48:30.239395+00:00,gpt-5.6-luna,gpt-5.6-luna,create-shipment,responses,responses_default,2,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,875,,
2026-07-18T21:48:31.536747+00:00,gpt-5.6-luna,gpt-5.6-luna,create-shipment,responses,responses_default,3,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,953,,
2026-07-18T21:48:33.376416+00:00,gpt-5.6-luna,gpt-5.6-luna,create-shipment,responses,responses_default,4,False,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",0,983,,
2026-07-18T21:48:35.218040+00:00,gpt-5.6-luna,gpt-5.6-luna,register-address,responses,responses_default,0,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,813,,
2026-07-18T21:48:37.247515+00:00,gpt-5.6-luna,gpt-5.6-luna,register-address,responses,responses_default,1,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,1125,,
2026-07-18T21:48:39.329177+00:00,gpt-5.6-luna,gpt-5.6-luna,register-address,responses,responses_default,2,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,875,,
2026-07-18T21:48:41.064519+00:00,gpt-5.6-luna,gpt-5.6-luna,register-address,responses,responses_default,3,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,2797,,
2026-07-18T21:48:44.454783+00:00,gpt-5.6-luna,gpt-5.6-luna,register-address,responses,responses_default,4,False,,honored,US -> 5-digit ZIP enforced,"{""country"": ""US"", ""postalCode"": ""98101""}",0,795,,
2026-07-18T21:48:45.910821+00:00,gpt-5.6-luna,gpt-5.6-luna,plot-point,responses,responses_default,0,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,1156,,
2026-07-18T21:48:47.729326+00:00,gpt-5.6-luna,gpt-5.6-luna,plot-point,responses,responses_default,1,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,1125,,
2026-07-18T21:48:49.448674+00:00,gpt-5.6-luna,gpt-5.6-luna,plot-point,responses,responses_default,2,False,,honored,exactly two numeric coordinates,"{""coordinates"": [3, 7], ""label"": ""origin offset""}",0,1375,,
