model_label,hub_id,provider,tool,demonstrates,trials,served_n,honored,dropped,invalid,rejected,error,honored_of_served
glm-5.2,zai-org/GLM-5.2,zai-org,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,deepinfra,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,fireworks-ai,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,scaleway,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,together,lookup-record,top-level oneOf,20,16,0,0,16,0,4,0.0
glm-5.2,zai-org/GLM-5.2,zai-org,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,deepinfra,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,fireworks-ai,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,scaleway,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,together,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,zai-org,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,deepinfra,register-address,if / then,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,fireworks-ai,register-address,if / then,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,scaleway,register-address,if / then,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,together,register-address,if / then,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,zai-org,register-address,if / then,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,deepinfra,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,fireworks-ai,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,novita,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,scaleway,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,together,create-payment,nested oneOf + const + pattern,20,19,19,0,0,0,1,1.0
gpt-oss-120b,openai/gpt-oss-120b,deepinfra,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,fireworks-ai,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,novita,create-shipment,$ref + $defs,20,20,8,0,12,0,0,0.4
gpt-oss-120b,openai/gpt-oss-120b,scaleway,create-shipment,$ref + $defs,20,20,12,0,8,0,0,0.6
gpt-oss-120b,openai/gpt-oss-120b,together,create-shipment,$ref + $defs,20,20,19,0,1,0,0,0.95
gpt-oss-120b,openai/gpt-oss-120b,deepinfra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,0,0,20,0,0,0.0
gpt-oss-120b,openai/gpt-oss-120b,fireworks-ai,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,novita,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,17,0,0,17,0,3,0.0
gpt-oss-120b,openai/gpt-oss-120b,scaleway,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,15,0,0,15,0,5,0.0
gpt-oss-120b,openai/gpt-oss-120b,together,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,deepinfra,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,fireworks-ai,lookup-record,top-level oneOf,20,20,0,0,0,20,0,0.0
gpt-oss-120b,openai/gpt-oss-120b,novita,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,scaleway,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,together,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,deepinfra,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,fireworks-ai,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,novita,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,scaleway,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,together,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,deepinfra,register-address,if / then,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,fireworks-ai,register-address,if / then,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,novita,register-address,if / then,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,scaleway,register-address,if / then,20,20,20,0,0,0,0,1.0
gpt-oss-120b,openai/gpt-oss-120b,together,register-address,if / then,20,20,5,0,15,0,0,0.25
kimi-k2.6,moonshotai/Kimi-K2.6,deepinfra,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,fireworks-ai,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,novita,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,together,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,deepinfra,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,fireworks-ai,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,novita,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,together,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,deepinfra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,fireworks-ai,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,novita,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,together,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,deepinfra,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,fireworks-ai,lookup-record,top-level oneOf,20,20,0,0,0,20,0,0.0
kimi-k2.6,moonshotai/Kimi-K2.6,novita,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,together,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,deepinfra,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,fireworks-ai,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,novita,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,together,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,deepinfra,register-address,if / then,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,fireworks-ai,register-address,if / then,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,novita,register-address,if / then,20,20,20,0,0,0,0,1.0
kimi-k2.6,moonshotai/Kimi-K2.6,together,register-address,if / then,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,deepinfra,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,fireworks-ai,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,novita,create-payment,nested oneOf + const + pattern,20,20,0,0,20,0,0,0.0
minimax-m3,MiniMaxAI/MiniMax-M3,together,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,deepinfra,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,fireworks-ai,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,novita,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,together,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,deepinfra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,fireworks-ai,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,novita,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,together,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,11,9,0,0,0,0.55
minimax-m3,MiniMaxAI/MiniMax-M3,deepinfra,lookup-record,top-level oneOf,20,19,19,0,0,0,1,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,fireworks-ai,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,novita,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,together,lookup-record,top-level oneOf,20,19,0,0,19,0,1,0.0
minimax-m3,MiniMaxAI/MiniMax-M3,deepinfra,plot-point,prefixItems,20,20,0,0,20,0,0,0.0
minimax-m3,MiniMaxAI/MiniMax-M3,fireworks-ai,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,novita,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,together,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,deepinfra,register-address,if / then,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,fireworks-ai,register-address,if / then,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,novita,register-address,if / then,20,20,20,0,0,0,0,1.0
minimax-m3,MiniMaxAI/MiniMax-M3,together,register-address,if / then,20,20,20,0,0,0,0,1.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,deepinfra,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,novita,create-payment,nested oneOf + const + pattern,20,20,0,0,0,20,0,0.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,scaleway,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,deepinfra,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,novita,create-shipment,$ref + $defs,20,20,0,0,0,20,0,0.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,scaleway,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,deepinfra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,novita,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,0,0,0,20,0,0.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,scaleway,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,19,1,0,0,0,0.95
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,deepinfra,lookup-record,top-level oneOf,20,17,0,0,17,0,3,0.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,novita,lookup-record,top-level oneOf,20,20,0,0,0,20,0,0.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,scaleway,lookup-record,top-level oneOf,20,16,0,0,16,0,4,0.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,deepinfra,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,novita,plot-point,prefixItems,20,20,0,0,0,20,0,0.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,scaleway,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,deepinfra,register-address,if / then,20,20,20,0,0,0,0,1.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,novita,register-address,if / then,20,20,0,0,0,20,0,0.0
qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,scaleway,register-address,if / then,20,20,20,0,0,0,0,1.0
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,deepinfra,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,scaleway,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,deepinfra,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,scaleway,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,deepinfra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,18,2,0,0,0,0.9
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,scaleway,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,15,5,0,0,0,0.75
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,deepinfra,lookup-record,top-level oneOf,20,20,0,0,20,0,0,0.0
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,scaleway,lookup-record,top-level oneOf,20,20,0,0,20,0,0,0.0
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,deepinfra,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,scaleway,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,deepinfra,register-address,if / then,20,20,19,0,1,0,0,0.95
qwen3.6-35b,Qwen/Qwen3.6-35B-A3B,scaleway,register-address,if / then,20,20,20,0,0,0,0,1.0
