model_label,tool,demonstrates,render_feature,input_honored_of_served,input_modal,input_transport,render_survival,render_cell
gpt-5.4,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
gpt-5.4,lookup-record,top-level oneOf,oneOf,0.0,rejected,direct,,-
gpt-5.4,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
gpt-5.4,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
gpt-5.4,register-address,if / then,(untracked),1.0,honored,direct,,n/t
gpt-5.4,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
gpt-5.4-mini,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
gpt-5.4-mini,lookup-record,top-level oneOf,oneOf,0.0,rejected,direct,,-
gpt-5.4-mini,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
gpt-5.4-mini,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
gpt-5.4-mini,register-address,if / then,(untracked),1.0,honored,direct,,n/t
gpt-5.4-mini,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
gpt-5.5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
gpt-5.5,lookup-record,top-level oneOf,oneOf,0.0,rejected,direct,,-
gpt-5.5,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
gpt-5.5,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
gpt-5.5,register-address,if / then,(untracked),1.0,honored,direct,,n/t
gpt-5.5,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
gpt-5.6-luna,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
gpt-5.6-luna,lookup-record,top-level oneOf,oneOf,0.0,rejected,direct,,-
gpt-5.6-luna,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
gpt-5.6-luna,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
gpt-5.6-luna,register-address,if / then,(untracked),1.0,honored,direct,,n/t
gpt-5.6-luna,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
gpt-5.6-sol,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
gpt-5.6-sol,lookup-record,top-level oneOf,oneOf,0.0,rejected,direct,,-
gpt-5.6-sol,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
gpt-5.6-sol,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
gpt-5.6-sol,register-address,if / then,(untracked),1.0,honored,direct,,n/t
gpt-5.6-sol,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
gpt-5.6-terra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
gpt-5.6-terra,lookup-record,top-level oneOf,oneOf,0.0,rejected,direct,,-
gpt-5.6-terra,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
gpt-5.6-terra,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
gpt-5.6-terra,register-address,if / then,(untracked),1.0,honored,direct,,n/t
gpt-5.6-terra,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
gpt-oss-120b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,0.0,invalid,huggingface,0.5,3/6
gpt-oss-120b,lookup-record,top-level oneOf,oneOf,1.0,honored,huggingface,0.5,1/2
gpt-oss-120b,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,huggingface,0.5,1/2
gpt-oss-120b,create-shipment,$ref + $defs,ref,0.65,honored,huggingface,0.5,2/4
gpt-oss-120b,register-address,if / then,(untracked),1.0,honored,huggingface,,n/t
gpt-oss-120b,plot-point,prefixItems,(untracked),1.0,honored,huggingface,,n/t
inkling,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,huggingface,,-
inkling,lookup-record,top-level oneOf,oneOf,1.0,honored,huggingface,,-
inkling,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,huggingface,,-
inkling,create-shipment,$ref + $defs,ref,1.0,honored,huggingface,,-
inkling,register-address,if / then,(untracked),1.0,honored,huggingface,,n/t
inkling,plot-point,prefixItems,(untracked),1.0,honored,huggingface,,n/t
kimi-k2.6,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,huggingface,0.222,2/9
kimi-k2.6,lookup-record,top-level oneOf,oneOf,1.0,honored,huggingface,0.0,0/3
kimi-k2.6,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,huggingface,0.0,0/3
kimi-k2.6,create-shipment,$ref + $defs,ref,1.0,honored,huggingface,0.167,1/6
kimi-k2.6,register-address,if / then,(untracked),1.0,honored,huggingface,,n/t
kimi-k2.6,plot-point,prefixItems,(untracked),1.0,honored,huggingface,,n/t
kimi-k2.7-code,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,huggingface,,-
kimi-k2.7-code,lookup-record,top-level oneOf,oneOf,1.0,honored,huggingface,,-
kimi-k2.7-code,create-payment,nested oneOf + const + pattern,oneOf,0.95,honored,huggingface,,-
kimi-k2.7-code,create-shipment,$ref + $defs,ref,0.85,honored,huggingface,,-
kimi-k2.7-code,register-address,if / then,(untracked),1.0,honored,huggingface,,n/t
kimi-k2.7-code,plot-point,prefixItems,(untracked),0.8,honored,huggingface,,n/t
kimi-k3,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
kimi-k3,lookup-record,top-level oneOf,oneOf,1.0,honored,direct,,-
kimi-k3,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
kimi-k3,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
kimi-k3,register-address,if / then,(untracked),1.0,honored,direct,,n/t
kimi-k3,plot-point,prefixItems,(untracked),0.0,rejected,direct,,n/t
kimi-k3-hf,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,huggingface,,-
kimi-k3-hf,lookup-record,top-level oneOf,oneOf,1.0,honored,huggingface,,-
kimi-k3-hf,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,huggingface,,-
kimi-k3-hf,create-shipment,$ref + $defs,ref,1.0,honored,huggingface,,-
kimi-k3-hf,register-address,if / then,(untracked),1.0,honored,huggingface,,n/t
kimi-k3-hf,plot-point,prefixItems,(untracked),1.0,honored,huggingface,,n/t
minimax-m3,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,huggingface,,-
minimax-m3,lookup-record,top-level oneOf,oneOf,1.0,honored,huggingface,,-
minimax-m3,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,huggingface,,-
minimax-m3,create-shipment,$ref + $defs,ref,1.0,honored,huggingface,,-
minimax-m3,register-address,if / then,(untracked),1.0,honored,huggingface,,n/t
minimax-m3,plot-point,prefixItems,(untracked),0.0,invalid,huggingface,,n/t
qwen3.5-397b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,0.95,honored,huggingface,0.5,3/6
qwen3.5-397b,lookup-record,top-level oneOf,oneOf,0.0,invalid,huggingface,0.5,1/2
qwen3.5-397b,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,huggingface,0.5,1/2
qwen3.5-397b,create-shipment,$ref + $defs,ref,1.0,honored,huggingface,0.5,2/4
qwen3.5-397b,register-address,if / then,(untracked),1.0,honored,huggingface,,n/t
qwen3.5-397b,plot-point,prefixItems,(untracked),1.0,honored,huggingface,,n/t
qwen3.6-35b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,0.9,honored,huggingface,0.5,3/6
qwen3.6-35b,lookup-record,top-level oneOf,oneOf,0.0,invalid,huggingface,0.5,1/2
qwen3.6-35b,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,huggingface,0.5,1/2
qwen3.6-35b,create-shipment,$ref + $defs,ref,1.0,honored,huggingface,0.5,2/4
qwen3.6-35b,register-address,if / then,(untracked),1.0,honored,huggingface,,n/t
qwen3.6-35b,plot-point,prefixItems,(untracked),1.0,honored,huggingface,,n/t
