probed_at,model_label,model_id,tool,condition,condition_kind,trial,strict,verdict,note,arguments,error,error_status
2026-07-19T02:06:13.182311+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_strict,verbatim,0,True,rejected,,,"tools.0.custom: For 'object' type, 'additionalProperties' must be explicitly set to false",400
2026-07-19T02:06:14.217172+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_strict,verbatim,1,True,rejected,,,"tools.0.custom: For 'object' type, 'additionalProperties' must be explicitly set to false",400
2026-07-19T02:06:15.205401+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,envelope_strict,envelope,0,True,rejected,,,"tools.0.custom: For 'array' type, property 'maxItems' is not supported",400
2026-07-19T02:06:16.242124+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,envelope_strict,envelope,1,True,rejected,,,"tools.0.custom: For 'array' type, property 'maxItems' is not supported",400
2026-07-19T02:06:22.843816+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,anyof_no_constraints,repair-approximation,0,True,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:26.742417+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,anyof_no_constraints,repair-approximation,1,True,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:30.499169+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,anyof_no_constraints,repair-approximation,2,True,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:34.347161+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,anyof_no_constraints,repair-approximation,3,True,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:38.238386+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,anyof_no_constraints,repair-approximation,4,True,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:42.960262+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,anyof_no_constraints,repair-approximation,5,True,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:47.259987+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,anyof_no_constraints,repair-approximation,6,True,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:51.254211+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,anyof_no_constraints,repair-approximation,7,True,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:55.276607+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,anyof_no_constraints,repair-approximation,8,True,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:59.446094+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,anyof_no_constraints,repair-approximation,9,True,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:07:00.396709+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,verbatim_nonstrict,verbatim-nonstrict,0,,rejected,,,"tools.0.custom.input_schema: input_schema does not support oneOf, allOf, or anyOf at the top level",400
2026-07-19T02:07:01.399622+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,verbatim_nonstrict,verbatim-nonstrict,1,,rejected,,,"tools.0.custom.input_schema: input_schema does not support oneOf, allOf, or anyOf at the top level",400
2026-07-19T02:07:02.375037+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,verbatim_strict,verbatim,0,True,rejected,,,"tools.0.custom.input_schema: input_schema does not support oneOf, allOf, or anyOf at the top level",400
2026-07-19T02:07:03.405719+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,verbatim_strict,verbatim,1,True,rejected,,,"tools.0.custom.input_schema: input_schema does not support oneOf, allOf, or anyOf at the top level",400
2026-07-19T02:07:04.538965+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,envelope_strict,envelope,0,True,rejected,,,"tools.0.custom.input_schema: input_schema does not support oneOf, allOf, or anyOf at the top level",400
2026-07-19T02:07:05.508646+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,envelope_strict,envelope,1,True,rejected,,,"tools.0.custom.input_schema: input_schema does not support oneOf, allOf, or anyOf at the top level",400
2026-07-19T02:07:10.854528+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_oneof_nonstrict,escape-nonstrict,0,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:12.955419+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_oneof_nonstrict,escape-nonstrict,1,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:15.077858+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_oneof_nonstrict,escape-nonstrict,2,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:17.042308+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_oneof_nonstrict,escape-nonstrict,3,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:19.739391+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_oneof_nonstrict,escape-nonstrict,4,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:22.236969+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_oneof_nonstrict,escape-nonstrict,5,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:24.322603+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_oneof_nonstrict,escape-nonstrict,6,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:29.611758+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_oneof_nonstrict,escape-nonstrict,7,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:31.746807+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_oneof_nonstrict,escape-nonstrict,8,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:33.824856+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_oneof_nonstrict,escape-nonstrict,9,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:38.142439+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_anyof_strict,repair-nested,0,True,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:41.313717+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_anyof_strict,repair-nested,1,True,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:44.175068+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_anyof_strict,repair-nested,2,True,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:47.127616+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_anyof_strict,repair-nested,3,True,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:50.185083+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_anyof_strict,repair-nested,4,True,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:52.881784+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_anyof_strict,repair-nested,5,True,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:56.016710+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_anyof_strict,repair-nested,6,True,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:07:58.931579+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_anyof_strict,repair-nested,7,True,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:08:01.723962+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_anyof_strict,repair-nested,8,True,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:08:05.222174+00:00,claude-sonnet-5,claude-sonnet-5,lookup-record,nested_anyof_strict,repair-nested,9,True,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-19T02:08:08.161227+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_nonstrict,verbatim-nonstrict,0,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:12.487799+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_nonstrict,verbatim-nonstrict,1,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:15.641860+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_nonstrict,verbatim-nonstrict,2,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:18.714579+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_nonstrict,verbatim-nonstrict,3,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:21.461269+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_nonstrict,verbatim-nonstrict,4,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:24.279408+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_nonstrict,verbatim-nonstrict,5,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:27.474864+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_nonstrict,verbatim-nonstrict,6,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:30.345082+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_nonstrict,verbatim-nonstrict,7,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:33.408187+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_nonstrict,verbatim-nonstrict,8,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:36.488046+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_nonstrict,verbatim-nonstrict,9,,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:37.537478+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_strict,verbatim,0,True,rejected,,,"tools.0.custom: For 'object' type, 'additionalProperties' must be explicitly set to false",400
2026-07-19T02:08:38.561223+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,verbatim_strict,verbatim,1,True,rejected,,,"tools.0.custom: For 'object' type, 'additionalProperties' must be explicitly set to false",400
2026-07-19T02:08:39.527323+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,envelope_strict,envelope,0,True,rejected,,,"tools.0.custom: For 'number' type, property 'minimum' is not supported",400
2026-07-19T02:08:40.695305+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,envelope_strict,envelope,1,True,rejected,,,"tools.0.custom: For 'number' type, property 'minimum' is not supported",400
2026-07-19T02:08:46.805195+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,anyof_no_minimum,repair-approximation,0,True,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:49.865019+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,anyof_no_minimum,repair-approximation,1,True,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:53.292319+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,anyof_no_minimum,repair-approximation,2,True,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:56.668164+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,anyof_no_minimum,repair-approximation,3,True,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:08:59.679186+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,anyof_no_minimum,repair-approximation,4,True,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:09:02.715005+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,anyof_no_minimum,repair-approximation,5,True,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:09:05.898167+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,anyof_no_minimum,repair-approximation,6,True,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:09:09.067939+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,anyof_no_minimum,repair-approximation,7,True,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:09:12.250712+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,anyof_no_minimum,repair-approximation,8,True,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:09:15.210384+00:00,claude-sonnet-5,claude-sonnet-5,create-payment,anyof_no_minimum,repair-approximation,9,True,honored,card branch with cardNumber,"{""amount"": 42.5, ""method"": {""kind"": ""card"", ""cardNumber"": ""4111111111111111""}}",,
2026-07-19T02:09:17.299967+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_nonstrict,verbatim-nonstrict,0,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:19.589603+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_nonstrict,verbatim-nonstrict,1,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:22.539131+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_nonstrict,verbatim-nonstrict,2,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:24.703983+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_nonstrict,verbatim-nonstrict,3,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:27.089530+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_nonstrict,verbatim-nonstrict,4,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:29.496600+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_nonstrict,verbatim-nonstrict,5,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:31.926563+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_nonstrict,verbatim-nonstrict,6,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:34.178786+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_nonstrict,verbatim-nonstrict,7,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:36.564644+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_nonstrict,verbatim-nonstrict,8,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:38.945281+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_nonstrict,verbatim-nonstrict,9,,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:39.924940+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_strict,verbatim,0,True,rejected,,,"tools.0.custom: For 'object' type, 'additionalProperties' must be explicitly set to false",400
2026-07-19T02:09:40.829540+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,verbatim_strict,verbatim,1,True,rejected,,,"tools.0.custom: For 'object' type, 'additionalProperties' must be explicitly set to false",400
2026-07-19T02:09:47.744441+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,envelope_strict,envelope,0,True,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:51.169606+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,envelope_strict,envelope,1,True,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:54.579555+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,envelope_strict,envelope,2,True,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:09:58.001394+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,envelope_strict,envelope,3,True,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:10:01.351312+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,envelope_strict,envelope,4,True,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
2026-07-19T02:10:04.807834+00:00,claude-sonnet-5,claude-sonnet-5,create-shipment,envelope_strict,envelope,5,True,honored,both addresses honour the shared $def,"{""from"": {""street"": ""123 Market St"", ""city"": ""San Francisco"", ""country"": ""US""}, ""to"": {""street"": ""10 Downing St"", ""city"": ""London"", ""country"": ""GB""}}",,
