probed_at,model_label,model_id,condition,trial,titled_single,titled_multi,verdict,note,mentions_consts,mentions_titles,text,error,error_status
2026-07-14T04:12:07.111883+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,baseline,7,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:12:53.121367+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,baseline,8,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:13:32.139350+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,baseline,9,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:14:03.676123+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,title_in_description,0,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:14:24.551433+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,title_in_description,1,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:14:54.841987+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,title_in_description,2,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:15:39.497759+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,title_in_description,3,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:16:35.214527+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,title_in_description,4,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:16:52.471162+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,title_in_description,5,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:17:23.020287+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,title_in_description,6,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:18:57.786654+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,title_in_description,7,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:19:14.390663+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,title_in_description,8,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:19:56.378488+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,title_in_description,9,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:20:20.168411+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,semantic_consts,0,"""Wonder Woman""","[""salmon"", ""trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:20:42.559837+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,semantic_consts,1,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:21:00.398520+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,semantic_consts,2,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:21:19.521432+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,semantic_consts,3,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:21:40.234665+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,semantic_consts,4,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:22:00.136148+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,semantic_consts,5,"""Wonder Woman""","[""salmon"", ""trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:22:18.412358+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,semantic_consts,6,"""Wonder Woman""","[""salmon"", ""trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:22:37.568207+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,semantic_consts,7,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:23:12.171784+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,semantic_consts,8,"""wonder woman""","[""salmon"", ""trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:23:30.497797+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,semantic_consts,9,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:23:34.151251+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,echo,0,,,,,False,True,"For the fields in the `get-enum-selections` tool schema, the exact literal string values are:

**titledSingleSelectEnum:**
This field does not define a list of literal enum values in the schema (it is a standard `type: STRING` without an `enum` array), so it accepts any string value.

**titledMultipleSelectEnum:**
The items in this array must be one of the following literal strings:
* ""Tuna""
* ""Salmon""
* ""Trout""",,
2026-07-14T04:23:38.160257+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,echo,1,,,,,False,True,"For the `titledSingleSelectEnum` field, the schema does not define a set of literal string values (it is a standard string type without an `enum` constraint).

For the `titledMultipleSelectEnum` field, the valid literal string values (as defined in the `anyOf` schema) are:
*   ""Tuna""
*   ""Salmon""
*   ""Trout""",,
2026-07-14T04:23:41.039097+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,echo,2,,,,,False,True,"For the field **titledSingleSelectEnum**, there are no specific enum values defined in the schema (the type is just ""STRING""), so it accepts any string value.

For the field **titledMultipleSelectEnum**, the exact literal string values are:
* ""Tuna""
* ""Salmon""
* ""Trout""",,
2026-07-14T04:23:43.756556+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,baseline,0,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:23:46.391935+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,baseline,1,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:23:49.270557+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,baseline,2,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:23:51.760696+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,baseline,3,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:23:54.241906+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,baseline,4,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:23:57.308421+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,baseline,5,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:00.701972+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,baseline,6,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:03.974094+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,baseline,7,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:07.323926+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,baseline,8,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:10.663633+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,baseline,9,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:13.984170+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,title_in_description,0,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:17.416478+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,title_in_description,1,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:20.839895+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,title_in_description,2,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:23.772992+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,title_in_description,3,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:27.400097+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,title_in_description,4,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:30.698196+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,title_in_description,5,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:34.026442+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,title_in_description,6,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:37.316326+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,title_in_description,7,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:40.768284+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,title_in_description,8,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:44.096023+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,title_in_description,9,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:47.263268+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,semantic_consts,0,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:50.440964+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,semantic_consts,1,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:53.744677+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,semantic_consts,2,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:24:56.879196+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,semantic_consts,3,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:25:00.175793+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,semantic_consts,4,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:25:03.377669+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,semantic_consts,5,"""Wonder Woman""","[""salmon"", ""trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:25:06.530428+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,semantic_consts,6,"""Wonder Woman""","[""salmon"", ""trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:25:09.766844+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,semantic_consts,7,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:25:12.989591+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,semantic_consts,8,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:25:16.586943+00:00,gemini-3.1-flash-lite,gemini-3.1-flash-lite,semantic_consts,9,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:25:27.418865+00:00,gemini-3.5-flash,gemini-3.5-flash,echo,0,,,,,False,True,"Based on the input schema of the `get-enum-selections` tool, here are the literal string values associated with the fields `titledSingleSelectEnum` and `titledMultipleSelectEnum`:

### **titledSingleSelectEnum**
The schema defines this field as a `""STRING""` type without an explicit `enum` list, so it technically accepts any string. However, the only literal string value explicitly defined within its schema is:
* `""hero-1""` (as the `default` value)

---

### **titledMultipleSelectEnum**
The schema defines this field as an `""ARRAY""` type with the following literal string values:
* `""fish-1""` (as the `default` value)
* `""Tuna""` (as a title under `anyOf` options)
* `""Salmon""` (as a title under `anyOf` options)
* `""Trout""` (as a title under `anyOf` options)",,
2026-07-14T04:25:48.021416+00:00,gemini-3.5-flash,gemini-3.5-flash,echo,1,,,,,False,True,"Based on the exact input schema of the `get-enum-selections` tool, here are the literal string values that appear for those fields:

### 1. `titledSingleSelectEnum`
The schema defines this field as type `""STRING""` with no explicit list of enum values or constraints. The only literal string value that appears in its schema is:
* **`""hero-1""`** (defined as the `default` value)

### 2. `titledMultipleSelectEnum`
The schema defines this field as an `""ARRAY""` where the `items` property contains an `anyOf` array. The literal string values that appear in this field's schema are:
* **`""fish-1""`** (defined as the `default` value array element)
* **`""Tuna""`** (defined as a `title` within the `anyOf` array)
* **`""Salmon""`** (defined as a `title` within the `anyOf` array)
* **`""Trout""`** (defined as a `title` within the `anyOf` array)",,
2026-07-14T04:26:05.682086+00:00,gemini-3.5-flash,gemini-3.5-flash,echo,2,,,,,False,True,"Based on the input schema provided in the declaration of the `get-enum-selections` tool, here are the exact literal string values that appear for the fields `titledSingleSelectEnum` and `titledMultipleSelectEnum`:

### **1. `titledSingleSelectEnum`**
This field has no `enum` or `anyOf`/`oneOf` constraint defined in the schema (its type is simply `""STRING""`). The only literal string value that appears in its schema definition is its default value:
* `""hero-1""` *(default)*

---

### **2. `titledMultipleSelectEnum`**
This field is an array of items defined with an `anyOf` structure containing titles, along with a default value. The literal string values that appear in its schema definition are:
* `""fish-1""` *(default array element)*
* `""Tuna""` *(title within the items' `anyOf` list)*
* `""Salmon""` *(title within the items' `anyOf` list)*
* `""Trout""` *(title within the items' `anyOf` list)*",,
2026-07-14T04:26:14.561894+00:00,gemini-3.5-flash,gemini-3.5-flash,baseline,0,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:26:36.731595+00:00,gemini-3.5-flash,gemini-3.5-flash,baseline,1,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:26:49.190635+00:00,gemini-3.5-flash,gemini-3.5-flash,baseline,2,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:27:01.006752+00:00,gemini-3.5-flash,gemini-3.5-flash,baseline,3,"""hero-2""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:27:11.109493+00:00,gemini-3.5-flash,gemini-3.5-flash,baseline,4,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:27:28.662203+00:00,gemini-3.5-flash,gemini-3.5-flash,baseline,5,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:27:40.953799+00:00,gemini-3.5-flash,gemini-3.5-flash,baseline,6,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:27:54.136402+00:00,gemini-3.5-flash,gemini-3.5-flash,baseline,7,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:28:04.729518+00:00,gemini-3.5-flash,gemini-3.5-flash,baseline,8,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:28:19.286979+00:00,gemini-3.5-flash,gemini-3.5-flash,baseline,9,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:28:30.533240+00:00,gemini-3.5-flash,gemini-3.5-flash,title_in_description,0,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:28:45.424115+00:00,gemini-3.5-flash,gemini-3.5-flash,title_in_description,1,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:29:04.835888+00:00,gemini-3.5-flash,gemini-3.5-flash,title_in_description,2,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:29:18.061709+00:00,gemini-3.5-flash,gemini-3.5-flash,title_in_description,3,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:29:28.688715+00:00,gemini-3.5-flash,gemini-3.5-flash,title_in_description,4,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:29:41.658049+00:00,gemini-3.5-flash,gemini-3.5-flash,title_in_description,5,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:29:53.333942+00:00,gemini-3.5-flash,gemini-3.5-flash,title_in_description,6,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:30:11.372106+00:00,gemini-3.5-flash,gemini-3.5-flash,title_in_description,7,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:30:25.535508+00:00,gemini-3.5-flash,gemini-3.5-flash,title_in_description,8,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:30:39.277151+00:00,gemini-3.5-flash,gemini-3.5-flash,title_in_description,9,"""hero-3""","[""fish-2"", ""fish-3""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:30:54.236411+00:00,gemini-3.5-flash,gemini-3.5-flash,semantic_consts,0,"""wonder-woman""","[""salmon"", ""trout""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:31:11.302538+00:00,gemini-3.5-flash,gemini-3.5-flash,semantic_consts,1,"""wonder-woman""","[""salmon"", ""trout""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:31:23.794922+00:00,gemini-3.5-flash,gemini-3.5-flash,semantic_consts,2,"""wonder-woman""","[""salmon"", ""trout""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:31:40.233492+00:00,gemini-3.5-flash,gemini-3.5-flash,semantic_consts,3,"""wonder-woman""","[""salmon"", ""trout""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:32:00.076047+00:00,gemini-3.5-flash,gemini-3.5-flash,semantic_consts,4,"""wonder_woman""","[""salmon"", ""trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:32:11.586212+00:00,gemini-3.5-flash,gemini-3.5-flash,semantic_consts,5,"""wonder-woman""","[""salmon"", ""trout""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:32:24.167324+00:00,gemini-3.5-flash,gemini-3.5-flash,semantic_consts,6,"""wonder_woman""","[""salmon"", ""trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:32:43.190243+00:00,gemini-3.5-flash,gemini-3.5-flash,semantic_consts,7,"""wonder-woman""","[""salmon"", ""trout""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:32:57.599967+00:00,gemini-3.5-flash,gemini-3.5-flash,semantic_consts,8,"""wonder-woman""","[""salmon"", ""trout""]",honored,all 5 supplied selection(s) are enum members,,,,,
2026-07-14T04:33:13.892735+00:00,gemini-3.5-flash,gemini-3.5-flash,semantic_consts,9,"""wonder-woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
