model_label,tool,demonstrates,variant,phrasing,arm,served_n,honored,dropped,invalid,rejected,error,copied_n,v2_hos,coached_hos,delta
gemma-4-31b,create-payment,nested oneOf + const + pattern,card-spaced,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
glm-5.2,create-payment,nested oneOf + const + pattern,card-spaced,0,huggingface (deepinfra),20,19,1,0,0,0,0,0.95,1.0,-0.05
glm-5.2,create-payment,nested oneOf + const + pattern,card-spaced,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
gpt-5.4-mini,create-payment,nested oneOf + const + pattern,card-spaced,0,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
gpt-5.4-mini,create-payment,nested oneOf + const + pattern,card-spaced,1,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
gpt-5.5,create-payment,nested oneOf + const + pattern,card-spaced,0,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
gpt-5.5,create-payment,nested oneOf + const + pattern,card-spaced,1,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
gpt-oss-120b,create-payment,nested oneOf + const + pattern,card-spaced,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
gpt-oss-120b,create-payment,nested oneOf + const + pattern,card-spaced,1,huggingface (deepinfra),20,0,0,20,0,0,20,0.0,1.0,-1.0
kimi-k2.6,create-payment,nested oneOf + const + pattern,card-spaced,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
kimi-k2.6,create-payment,nested oneOf + const + pattern,card-spaced,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
kimi-k2.7-code,create-payment,nested oneOf + const + pattern,card-spaced,0,huggingface (deepinfra),20,19,0,1,0,0,0,0.95,0.95,0.0
kimi-k2.7-code,create-payment,nested oneOf + const + pattern,card-spaced,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,0.95,0.05
minimax-m3,create-payment,nested oneOf + const + pattern,card-spaced,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
minimax-m3,create-payment,nested oneOf + const + pattern,card-spaced,1,huggingface (deepinfra),19,18,0,1,0,1,0,0.947,1.0,-0.053
qwen3.5-397b,create-payment,nested oneOf + const + pattern,card-spaced,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
qwen3.5-397b,create-payment,nested oneOf + const + pattern,card-spaced,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
qwen3.6-35b,create-payment,nested oneOf + const + pattern,card-spaced,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
qwen3.6-35b,create-payment,nested oneOf + const + pattern,card-spaced,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
claude-haiku-4.5,format-phone,pattern (E.164),phone-e164,0,direct,20,20,0,0,0,0,0,1.0,,
claude-haiku-4.5,format-phone,pattern (E.164),phone-e164,1,direct,20,20,0,0,0,0,0,1.0,,
claude-sonnet-5,format-phone,pattern (E.164),phone-e164,0,direct,20,20,0,0,0,0,0,1.0,,
claude-sonnet-5,format-phone,pattern (E.164),phone-e164,1,direct,20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,format-phone,pattern (E.164),phone-e164,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,format-phone,pattern (E.164),phone-e164,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,format-phone,pattern (E.164),phone-e164,0,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,format-phone,pattern (E.164),phone-e164,1,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-pro,format-phone,pattern (E.164),phone-e164,0,direct,0,0,0,0,0,20,0,,,
gemini-3.1-pro,format-phone,pattern (E.164),phone-e164,1,direct,0,0,0,0,0,20,0,,,
gemma-4-31b,format-phone,pattern (E.164),phone-e164,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemma-4-31b,format-phone,pattern (E.164),phone-e164,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
glm-5.2,format-phone,pattern (E.164),phone-e164,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
glm-5.2,format-phone,pattern (E.164),phone-e164,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-5.4-mini,format-phone,pattern (E.164),phone-e164,0,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.4-mini,format-phone,pattern (E.164),phone-e164,1,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.5,format-phone,pattern (E.164),phone-e164,0,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.5,format-phone,pattern (E.164),phone-e164,1,direct,20,20,0,0,0,0,0,1.0,,
gpt-oss-120b,format-phone,pattern (E.164),phone-e164,0,huggingface (deepinfra),20,0,0,20,0,0,20,0.0,,
gpt-oss-120b,format-phone,pattern (E.164),phone-e164,1,huggingface (deepinfra),20,0,0,20,0,0,20,0.0,,
kimi-k2.6,format-phone,pattern (E.164),phone-e164,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,format-phone,pattern (E.164),phone-e164,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.7-code,format-phone,pattern (E.164),phone-e164,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.7-code,format-phone,pattern (E.164),phone-e164,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
minimax-m3,format-phone,pattern (E.164),phone-e164,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
minimax-m3,format-phone,pattern (E.164),phone-e164,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.5-397b,format-phone,pattern (E.164),phone-e164,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.5-397b,format-phone,pattern (E.164),phone-e164,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.6-35b,format-phone,pattern (E.164),phone-e164,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.6-35b,format-phone,pattern (E.164),phone-e164,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
claude-haiku-4.5,lookup-record,top-level oneOf,id-branch-control,0,direct,20,0,0,0,20,0,0,0.0,,
claude-haiku-4.5,lookup-record,top-level oneOf,id-branch-control,1,direct,20,0,0,0,20,0,0,0.0,,
claude-sonnet-5,lookup-record,top-level oneOf,id-branch-control,0,direct,20,0,0,0,20,0,0,0.0,,
claude-sonnet-5,lookup-record,top-level oneOf,id-branch-control,1,direct,20,0,0,0,20,0,0,0.0,,
deepseek-v4-flash,lookup-record,top-level oneOf,id-branch-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,lookup-record,top-level oneOf,id-branch-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,lookup-record,top-level oneOf,id-branch-control,0,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,lookup-record,top-level oneOf,id-branch-control,1,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-pro,lookup-record,top-level oneOf,id-branch-control,0,direct,0,0,0,0,0,20,0,,,
gemini-3.1-pro,lookup-record,top-level oneOf,id-branch-control,1,direct,0,0,0,0,0,20,0,,,
gemma-4-31b,lookup-record,top-level oneOf,id-branch-control,0,huggingface (deepinfra),20,16,0,4,0,0,0,0.8,,
gemma-4-31b,lookup-record,top-level oneOf,id-branch-control,1,huggingface (deepinfra),20,16,0,4,0,0,0,0.8,,
glm-5.2,lookup-record,top-level oneOf,id-branch-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
glm-5.2,lookup-record,top-level oneOf,id-branch-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-5.4-mini,lookup-record,top-level oneOf,id-branch-control,0,direct,20,0,0,0,20,0,0,0.0,,
gpt-5.4-mini,lookup-record,top-level oneOf,id-branch-control,1,direct,20,0,0,0,20,0,0,0.0,,
gpt-5.5,lookup-record,top-level oneOf,id-branch-control,0,direct,20,0,0,0,20,0,0,0.0,,
gpt-5.5,lookup-record,top-level oneOf,id-branch-control,1,direct,20,0,0,0,20,0,0,0.0,,
gpt-oss-120b,lookup-record,top-level oneOf,id-branch-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-oss-120b,lookup-record,top-level oneOf,id-branch-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,lookup-record,top-level oneOf,id-branch-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,lookup-record,top-level oneOf,id-branch-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.7-code,lookup-record,top-level oneOf,id-branch-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.7-code,lookup-record,top-level oneOf,id-branch-control,1,huggingface (deepinfra),20,19,0,1,0,0,0,0.95,,
minimax-m3,lookup-record,top-level oneOf,id-branch-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
minimax-m3,lookup-record,top-level oneOf,id-branch-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.5-397b,lookup-record,top-level oneOf,id-branch-control,0,huggingface (deepinfra),20,0,0,20,0,0,0,0.0,,
qwen3.5-397b,lookup-record,top-level oneOf,id-branch-control,1,huggingface (deepinfra),18,0,0,18,0,2,0,0.0,,
qwen3.6-35b,lookup-record,top-level oneOf,id-branch-control,0,huggingface (deepinfra),20,0,0,20,0,0,0,0.0,,
qwen3.6-35b,lookup-record,top-level oneOf,id-branch-control,1,huggingface (deepinfra),20,0,0,20,0,0,0,0.0,,
claude-haiku-4.5,lookup-record,top-level oneOf,name-branch,0,direct,20,0,0,0,20,0,0,0.0,,
claude-haiku-4.5,lookup-record,top-level oneOf,name-branch,1,direct,20,0,0,0,20,0,0,0.0,,
claude-sonnet-5,lookup-record,top-level oneOf,name-branch,0,direct,20,0,0,0,20,0,0,0.0,,
claude-sonnet-5,lookup-record,top-level oneOf,name-branch,1,direct,20,0,0,0,20,0,0,0.0,,
deepseek-v4-flash,lookup-record,top-level oneOf,name-branch,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,lookup-record,top-level oneOf,name-branch,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,lookup-record,top-level oneOf,name-branch,0,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,lookup-record,top-level oneOf,name-branch,1,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-pro,lookup-record,top-level oneOf,name-branch,0,direct,0,0,0,0,0,20,0,,,
gemini-3.1-pro,lookup-record,top-level oneOf,name-branch,1,direct,0,0,0,0,0,20,0,,,
gemma-4-31b,lookup-record,top-level oneOf,name-branch,0,huggingface (deepinfra),20,17,0,3,0,0,0,0.85,,
gemma-4-31b,lookup-record,top-level oneOf,name-branch,1,huggingface (deepinfra),20,8,0,12,0,0,0,0.4,,
glm-5.2,lookup-record,top-level oneOf,name-branch,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
glm-5.2,lookup-record,top-level oneOf,name-branch,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-5.4-mini,lookup-record,top-level oneOf,name-branch,0,direct,20,0,0,0,20,0,0,0.0,,
gpt-5.4-mini,lookup-record,top-level oneOf,name-branch,1,direct,20,0,0,0,20,0,0,0.0,,
gpt-5.5,lookup-record,top-level oneOf,name-branch,0,direct,20,0,0,0,20,0,0,0.0,,
gpt-5.5,lookup-record,top-level oneOf,name-branch,1,direct,20,0,0,0,20,0,0,0.0,,
gpt-oss-120b,lookup-record,top-level oneOf,name-branch,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-oss-120b,lookup-record,top-level oneOf,name-branch,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,lookup-record,top-level oneOf,name-branch,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,lookup-record,top-level oneOf,name-branch,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.7-code,lookup-record,top-level oneOf,name-branch,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.7-code,lookup-record,top-level oneOf,name-branch,1,huggingface (deepinfra),20,18,0,2,0,0,0,0.9,,
minimax-m3,lookup-record,top-level oneOf,name-branch,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
minimax-m3,lookup-record,top-level oneOf,name-branch,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.5-397b,lookup-record,top-level oneOf,name-branch,0,huggingface (deepinfra),20,0,0,20,0,0,0,0.0,,
qwen3.5-397b,lookup-record,top-level oneOf,name-branch,1,huggingface (deepinfra),19,0,0,19,0,1,0,0.0,,
qwen3.6-35b,lookup-record,top-level oneOf,name-branch,0,huggingface (deepinfra),20,0,0,20,0,0,0,0.0,,
qwen3.6-35b,lookup-record,top-level oneOf,name-branch,1,huggingface (deepinfra),20,0,0,20,0,0,0,0.0,,
claude-haiku-4.5,register-address,if / then,gb-control,0,direct,20,20,0,0,0,0,0,1.0,,
claude-haiku-4.5,register-address,if / then,gb-control,1,direct,20,20,0,0,0,0,0,1.0,,
claude-sonnet-5,register-address,if / then,gb-control,0,direct,20,20,0,0,0,0,0,1.0,,
claude-sonnet-5,register-address,if / then,gb-control,1,direct,20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,register-address,if / then,gb-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,register-address,if / then,gb-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,register-address,if / then,gb-control,0,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,register-address,if / then,gb-control,1,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-pro,register-address,if / then,gb-control,0,direct,0,0,0,0,0,20,0,,,
gemini-3.1-pro,register-address,if / then,gb-control,1,direct,0,0,0,0,0,20,0,,,
gemma-4-31b,register-address,if / then,gb-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemma-4-31b,register-address,if / then,gb-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
glm-5.2,register-address,if / then,gb-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
glm-5.2,register-address,if / then,gb-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-5.4-mini,register-address,if / then,gb-control,0,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.4-mini,register-address,if / then,gb-control,1,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.5,register-address,if / then,gb-control,0,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.5,register-address,if / then,gb-control,1,direct,20,20,0,0,0,0,0,1.0,,
gpt-oss-120b,register-address,if / then,gb-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-oss-120b,register-address,if / then,gb-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,register-address,if / then,gb-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,register-address,if / then,gb-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.7-code,register-address,if / then,gb-control,0,huggingface (deepinfra),20,18,0,2,0,0,0,0.9,,
kimi-k2.7-code,register-address,if / then,gb-control,1,huggingface (deepinfra),20,18,0,2,0,0,0,0.9,,
minimax-m3,register-address,if / then,gb-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
minimax-m3,register-address,if / then,gb-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.5-397b,register-address,if / then,gb-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.5-397b,register-address,if / then,gb-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.6-35b,register-address,if / then,gb-control,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.6-35b,register-address,if / then,gb-control,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
claude-haiku-4.5,register-address,if / then,us-zip5,0,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
claude-haiku-4.5,register-address,if / then,us-zip5,1,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
claude-sonnet-5,register-address,if / then,us-zip5,0,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
claude-sonnet-5,register-address,if / then,us-zip5,1,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
deepseek-v4-flash,register-address,if / then,us-zip5,0,huggingface (deepinfra),20,12,0,8,0,0,8,0.6,1.0,-0.4
deepseek-v4-flash,register-address,if / then,us-zip5,1,huggingface (deepinfra),20,0,0,20,0,0,20,0.0,1.0,-1.0
gemini-3.1-flash-lite,register-address,if / then,us-zip5,0,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
gemini-3.1-flash-lite,register-address,if / then,us-zip5,1,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
gemini-3.1-pro,register-address,if / then,us-zip5,0,direct,3,3,0,0,0,17,0,1.0,1.0,0.0
gemini-3.1-pro,register-address,if / then,us-zip5,1,direct,0,0,0,0,0,20,0,,1.0,
gemma-4-31b,register-address,if / then,us-zip5,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
gemma-4-31b,register-address,if / then,us-zip5,1,huggingface (deepinfra),20,7,0,13,0,0,13,0.35,1.0,-0.65
glm-5.2,register-address,if / then,us-zip5,0,huggingface (deepinfra),20,9,0,11,0,0,11,0.45,1.0,-0.55
glm-5.2,register-address,if / then,us-zip5,1,huggingface (deepinfra),20,5,0,15,0,0,15,0.25,1.0,-0.75
gpt-5.4-mini,register-address,if / then,us-zip5,0,direct,20,9,0,11,0,0,11,0.45,1.0,-0.55
gpt-5.4-mini,register-address,if / then,us-zip5,1,direct,20,19,0,1,0,0,1,0.95,1.0,-0.05
gpt-5.5,register-address,if / then,us-zip5,0,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
gpt-5.5,register-address,if / then,us-zip5,1,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
gpt-oss-120b,register-address,if / then,us-zip5,0,huggingface (deepinfra),6,6,0,0,0,14,0,1.0,1.0,0.0
gpt-oss-120b,register-address,if / then,us-zip5,1,huggingface (deepinfra),1,1,0,0,0,19,0,1.0,1.0,0.0
kimi-k2.6,register-address,if / then,us-zip5,0,huggingface (deepinfra),19,17,0,2,0,1,2,0.895,1.0,-0.105
